sample_name,cluster_id,cluster_color,cluster_label,class_id,class_color,class_label,Gad2_log10_cpm,Slc17a7_log10_cpm,Lamp5_log10_cpm,Sncg_log10_cpm,Vip_log10_cpm,Sst_log10_cpm,Pvalb_log10_cpm
F2S4_170124_002_H01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.95819468578083,0.304966950190907,0,0,0.304966950190907,0
F2S4_170125_001_A01,93,#29E043,L5 PT VISp Krt80,2,#27AAE1,Glutamatergic,0,2.57391218008968,3.25969207635968,0,0,0,1.09539462816205
F2S4_170125_001_B01,93,#29E043,L5 PT VISp Krt80,2,#27AAE1,Glutamatergic,0,2.55535559807488,3.03596274663969,0,0,0,0
F2S4_170125_001_C01,107,#578EBF,L6 CT VISp Krt80 Sla,2,#27AAE1,Glutamatergic,0,2.93321756312201,0.204858070691478,0,0,0.765055210198231,0.204858070691478
F2S4_170125_001_D01,123,#476662,Oligo Synpr,3,#808285,Non-Neuronal,0,0.22307337987702,0,0,0,0,0
F2S4_170125_001_E01,103,#5C89CC,L6 CT VISp Nxph2 Wls,2,#27AAE1,Glutamatergic,0,2.65024941202092,0,0,0,0.370559595258737,0
F2S4_170125_001_F01,109,#2B7880,L6b VISp Mup5,2,#27AAE1,Glutamatergic,0,2.66682310794301,1.50991314597949,0,0,0,0
F2S4_170125_001_G01,107,#578EBF,L6 CT VISp Krt80 Sla,2,#27AAE1,Glutamatergic,0,3.00879795945715,1.24332843753763,0,0,0,0
F2S4_170125_001_H01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.67987201021277,3.18093649378019,0,0,0,0
F2S4_170125_002_A01,63,#7AE6AB,L2/3 IT VISp Agmat,2,#27AAE1,Glutamatergic,0,2.53661021127001,3.33398528797892,0,0,0,0
F2S4_170125_002_B01,107,#578EBF,L6 CT VISp Krt80 Sla,2,#27AAE1,Glutamatergic,0,2.84556032026811,0.222782602295039,0,0,0.222782602295039,0
F2S4_170125_002_C01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.8136211167462,0,0,0,0,0.252587995107969
F2S4_170125_002_E01,109,#2B7880,L6b VISp Mup5,2,#27AAE1,Glutamatergic,0,2.85133860728922,1.26926576326351,0,0,0.750415345211812,0
F2S4_170125_002_F01,63,#7AE6AB,L2/3 IT VISp Agmat,2,#27AAE1,Glutamatergic,0,2.51903960818376,3.14162911956887,0,0,0,0
F2S4_170125_002_G01,107,#578EBF,L6 CT VISp Krt80 Sla,2,#27AAE1,Glutamatergic,0,2.92473872580744,1.93412839582288,0,0,0,0
F2S4_170125_002_H01,107,#578EBF,L6 CT VISp Krt80 Sla,2,#27AAE1,Glutamatergic,0,2.73405991429123,1.5198555082199,0,0,0,0
F2S4_170126_001_B01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.58214143157129,2.82181295051236,0,0,0.309275404654482,0
F2S4_170126_001_C01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,3.08187249565915,0,0,0,0,0.196767319589869
F2S4_170126_001_D01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.81623843912729,0,0,0,0,0
F2S4_170126_001_G01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.56122063833066,1.50510028346837,0,0,0,0
